"animal_project_code","station_name","latitude","longitude"
"2019_Grotenete","ws-WN2",51.428174,3.462181
"2019_Grotenete","ws-53A",51.411167,4.029233
"2019_Grotenete","me-7-2b",51.1008,4.330483
"2019_Grotenete","ru-1",51.082273,4.366215
"2019_Grotenete","s-10a",51.235423,4.396673
"2019_Grotenete","ak-41",51.239128,4.397469
"2019_Grotenete","s-12",51.30305,4.28731
"2019_Grotenete","s-9a",51.19068,4.33602
"2019_Grotenete","ws-6",51.3913098,3.7161726
"2019_Grotenete","ws-15",51.386465,3.7080085
"2019_Grotenete","ws-18",51.3482621,3.8147323
"2019_Grotenete","ws-16",51.3544901,3.795027
"2019_Grotenete","ws-12A",51.3648799,3.765539
"2019_Grotenete","ws-HW6",51.43484,4.02702
"2019_Grotenete","ws-42A",51.42251303,4.032860596
"2019_Grotenete","s-8",51.14319,4.33078
"2019_Grotenete","s-9",51.19069,4.32954
"2019_Grotenete","s-8a",51.14222,4.32646
"2019_Grotenete","ws-13",51.4071859,3.7080883
"2019_Grotenete","ws-55",51.40221,4.02998
"2019_Grotenete","s-6",51.12267069,4.21890556
"2019_Grotenete","s-7",51.11414,4.24123
"2019_Grotenete","ws-4",51.3970414,3.7153436
"2019_Grotenete","ws-PVTSS",51.4018055,3.7089134
"2019_Grotenete","bpns-WZ",51.376167,3.178666667
"2019_Grotenete","s-11",51.29646,4.2857
"2019_Grotenete","ws-A3",51.3655375,3.734487
"2019_Grotenete","ws-A1",51.3724995,3.7229828
"2019_Grotenete","ws-15A",51.3805457,3.717259
"2019_Grotenete","ws-A5",51.3584544,3.7454284
"2019_Grotenete","ws-TRAWL",51.437785,3.470347
"2019_Grotenete","ws-25",51.351926,3.773559
"2019_Grotenete","ws-23",51.3552573,3.7609896
"2019_Grotenete","ws-F42",51.427986,4.034873
"2019_Grotenete","ws-25A",51.352186,3.781008
"2019_Grotenete","ws-11",51.41163,3.70746
"2019_Grotenete","ws-OGDL",51.46395,3.51263
"2019_Grotenete","ws-OG10",51.474675,3.510681
"2019_Grotenete","ws-53",51.41651283,4.027360624
"2019_Grotenete","bn-Walem",51.07183,4.45474
"2019_Grotenete","ws-2C",51.4169613,3.7188079
"2019_Grotenete","bpns-WENDUINEBANKW",51.287167,2.879166667
"2019_Grotenete","bpns-Trapegeer",51.1403333333,2.573
"2019_Grotenete","bpns-zbw2",51.359012,3.177194
"2019_Grotenete","ws-W7",51.410173,3.454515
"2019_Grotenete","s-4c",51.07363,4.19007
"2019_Grotenete","s-5",51.09258,4.17083
"2019_Grotenete","s-4a",51.03203,4.18166
"2019_Grotenete","s-4b",51.05593,4.20024
"2019_Grotenete","bpns-Sigurd Faulbaums",51.33519,2.602486
"2019_Grotenete","bpns-Nautica Ena",51.30056,2.869061
"2019_Grotenete","rel_grotenete1",51.144779,5.003906
